"МО, г. Пушкино, ул. Чехова, д.12",56.008701,37.851907
"МО, г. Щелково, ул. Талсинская д.8, стр.2",55.92777,37.989906
"Рязанский проспект, д. 2, к. 2.",55.729833,37.731021
"г. Долгопрудный, ул. Дирижабельная д.23",55.946174,37.505975
"ул. Тушинская, д. 17.",55.82666,37.44479
"7 км Пятницкого шоссе, вл.2.",55.876274,37.331549
"Каширское шоссе, д. 61, к. 2.",55.621404,37.713953
ул. Озёрная д.115,43.205938,76.781963
"г. Балашиха, мкр. Железнодорожный ул. Рождественская",55.743532,38.002195
"Ленинградский пр-т, д.36",55.791243,37.559379
"143981, Московская область, г. Балашиха, микрорайон Кучино, ул. Центральная, д. 40.",55.751594,37.955779
"г. Долгопрудный, Лихачевский проспект, д.64",55.93127,37.494368
"Поселок Птицефабрики, д.50.",55.993716,37.546004
"ул. Святоозерская, 1А",55.714648,37.883572
"Энтузиастов шоссе, 12, к. 2",55.747363,37.707098
"г.Реутов, ул.Ленина д.1-а",55.753321,37.857773
"Ивантеевка, ул. Новая Слобода",55.970136,37.918283
"г. Клин, Советская площадь, вл. 5",56.333973,36.734088
"Новорижское шоссе, 5 км от МКАД",55.676489,37.196685
"ул. Люблинская, д.153",55.658835,37.741908
"ул. Советская, д.9.",52.42695,31.014012
"Ореховый бульвар, д. 22А",55.612045,37.732718
"Проспект Андропова, 22",55.682651,37.661913
"МО, городской округ Истра, Павло-Слободское с/п, ул. Невская, д.704",55.812358,37.04213
"МО, Мытищи, ул.Мира, микрорайон №17",55.91524,37.727957
"Проспект Вернадского, 86а.",55.663019,37.480993
"Варшавское шоссе, 140.",55.612146,37.606999
78 км МКАД внутренняя сторона,55.889028,37.489005
"улица Большая Грузинская, д. 69-71.",55.774087,37.585817
"Рублево-Успенское шоссе, д. 85/1, деревня Барвиха",55.738536,37.270391
"г. Москва, г.о. Щербинка, ""Восточный"" промышленный район",55.507525,37.567653
"Ленинградское шоссе, деревня Черная Грязь, 12 км от МКАД",55.977355,37.302012
"Новоясеневский  проспект, д. 11.",55.60667,37.536284
"Ул. Рябиновая д.41, к.1, стр.6",55.702759,37.423707
"ул. Поречная, вл.10",55.649825,37.770043
"Котельники, Новорязанское шоссе, 8.",55.661176,37.880312
"ул. Ленинская Слобода, д. 26",55.710124,37.654601
"Варшавское шоссе, вл. 148.",55.60102,37.602526
"Киевское шоссе, 8 км от МКАД",55.676489,37.196685
"Дмитровское шоссе, д. 89.",55.863833,37.545581
"Ярославское шоссе, 1 км от МКАД",55.676489,37.196685
"мкр.Северное Чертаново, д.1А",55.637393,37.600388
"Ходынское поле, ул. Авиаконструктора Микояна",55.791552,37.531631
"Жуковский, ул. Баженова, д.2а.",55.604595,38.082082
"г. Раменское, ул. Коминтерна",55.56701,38.243698
71 км МКАД,55.858655,37.39762
"ул. Азовская, 24, с3.",55.647534,37.595555
"МО, Пушкинский район, 17-й км Ярославского шоссе",56.05686,37.89914
"Новая Москва, г.о. Щербинка, Железнодорожная, 44",55.498974,37.567905
"Комсомольский проспект, д. 4.",55.733092,37.592285
ул. Пришвина д.22,55.88557,37.602166
"Алтуфьевское Шоссе, д. 8.",55.852768,37.585808
"Алтуфьевское шоссе, д. 86 к. 1.",55.897786,37.588233
"ул. Профсоюзная, д. 102А/47А.",55.644237,37.52651
"ул. Профсоюзная, д.102.",55.644201,37.525603
"ул. Маршала Чуйкова, д. 1.",55.704986,37.764519
"Большой Овчинниковский пер., 16",55.744186,37.630715
"Варшавское Шоссе, 140",55.612146,37.606999
"Измайловское шоссе, д. 71.",55.791744,37.748619
"г. Серпухов, Привокзальная площадь",54.934334,37.45062
"Одинцово, Говорова, 163.",55.690917,37.303827
"Ул. Земляной Вал, д. 33",55.757339,37.659164
"Каширское шоссе, д. 61.",55.612197,37.718013
"Пресненская набережная, д.2",55.749299,37.539644
66 км МКАД,55.814836,37.39046
"Осташковское шоссе, д. 1.",55.916386,37.666495
"Варшавское шоссе, д. 95, к. 1.",55.640274,37.621938
"Краснопресненская набережная, д. 16.",55.74826,37.543902
"Рублево-Успенское шоссе, д. 114.",55.740193,37.248392
"ул. Тимирязевская, 2/3.",55.807921,37.57351
"ул. Петровка, д. 5.",55.761806,37.617456
"Борисовские пруды, вл.26, стр.2",55.639029,37.759228
26-й км МКАД,55.583927,37.709147
"ул. Перерва д. 43, к. 1.",55.659647,37.749661
"Южное Бутово, пересечение Остафьевской улицы и Чечерского проезда",55.532829,37.532744
"Варшавское шоссе, 87Б",55.653644,37.620698
"1-я Останкинская, 55",55.824005,37.634434
67 км МКАД,55.823601,37.392805
55 км МКАД,55.718243,37.383301
"Балашиха, ул. Шоссе Энтузиастов, 36a",55.793728,37.939268
"ул. Новый Арбат, д. 19, стр. 1.",55.752105,37.588916
"ул. Поляны, д.8",55.565605,37.556128
"ул. Венёвская, д.6",55.547845,37.543246
"Головинское шоссе, д. 5.",55.84024,37.492024
"ул. Мосфильмовская, д. 70.",55.714977,37.505606
ул. Менделеева,54.71929,56.007901
"Кутузовский проспект, д. 48.",55.731713,37.487353
"МО, Люберцы, Октябрьский проспект, 112.",55.685132,37.877527
71 км МКАД,55.858655,37.39762
"Кронштадтский бульвар, д.3А",55.840897,37.485421
"Ул. Вавилова, дом 3",55.706883,37.592096
"Рублевское шоссе, д. 42, к. 1.",55.750864,37.412406
ул. Тверская‚ д. 16/2‚ стр. 1.,55.764673,37.60629
"Ореховый бульвар, 15",55.612838,37.719908
"Балашиха, Шоссе Энтузиастов, 54а.",55.795945,37.96337
"Волоколамское шоссе, 103.",55.830675,37.397
"ул. Кировоградская, д.14.",55.622604,37.60593
"ул. Кировоградская, 2",55.632814,37.612506
"Багратионовский проезд, д. 7.",55.74149,37.504043
"Рублево-Успенское шоссе, Горки-10",55.706573,37.028592
"Московская область, г. Долгопрудный, Лихачевский проспект",55.921879,37.493425
Ленинградское ш. 100 м.  от МКАД,55.857841,37.469099
"Фряновское шоссе, д.1.",55.927942,38.011466
"Новорязанское шоссе, д.7",55.669894,37.871373
"Зеленоград, Панфиловский проспект, корпус 1550.",55.977894,37.153673
"Каширское шоссе, д. 14.",55.663745,37.627193
"Красная площадь, д. 3",55.754638,37.621633
"ул. Карла Маркса, д. 4.",51.749044,36.193222
"Театральная аллея, д. 3, стр. 1",55.793227,37.559883
"ул. Профессиональная,д.7",53.106373,25.967564
"Ореховый бульвар, д. 14, к. 3.",55.609675,37.720106
8 км МКАД,55.711737,37.836869
"ул. Новослободская, д.4.",55.780036,37.601403
"Рублевское шоссе, вл. 62.",55.766212,37.380875
